no,m,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,label
215,201806,2990.0,70679.0,47.0,500.0,2.0,13940.0,25.0,,,,,10680.0,23.0,500.0,2.0,,,2910.0,3.0,,,563.0,3.0,6860.0,7.0,14491.0,14.0,16400.0,8.0,17873.0,7.0,14492.0,8.0,18070.0,2.0,,,8206.0,10.0,74767.0,37.0,,,,,3230.0,1.0,,,,,10000.0,1.0,,,,,22000.0,2.0,5727.0,8.0,21040.0,10.0,26000.0,17.0,,,,,,,8763.0,5.0,16300.0,300.0,3230.0,,,5000.0,300.0,,2000.0,,16300.0,,5000.0,20000.0,,3230.0,,,10000.0,,,,4990.0,36210.0,37.0,,,36210.0,37.0,430.0,2.0,3980.0,7.0,10250.0,12.0,10450.0,8.0,11040.0,7.0,60.0,1.0,,,5980.0,2.0,5980.0,2.0,,,,,5980.0,2.0,,,,,,,,,6570.0,,6570.0,,4980.0,4980.0,,9660.0,3.0,,,759.0,5.0,5.0,7.0,1.0,1.0,3.0,4.0,3230.0,8400.0,201301.0,201806.0,201706.0,201806.0,26410.0,1.0,,201805.0,201805.0,50000.0,85370.0,14.0,24.0,,,,,,,3.0,2.0,0.0,0.0,0.0,3.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
215,201805,8150.0,48425.0,47.0,,,29632.0,34.0,,,,,28588.0,37.0,,,,,,,8205.0,4.0,98.0,1.0,8199.0,6.0,9042.0,9.0,13380.0,9.0,17683.0,21.0,23.0,1.0,4740.0,2.0,,,10641.0,7.0,28760.0,8.0,,,,,,,,,,,,,,,,,7400.0,1.0,1820.0,2.0,7600.0,1.0,11940.0,4.0,,,,,,,15840.0,4.0,6306.0,,6306.0,,,4500.0,,,,6306.0,4590.0,,4500.0,7600.0,,,,,,,,,7400.0,17400.0,5.0,,,17400.0,5.0,,,,,4430.0,2.0,9790.0,2.0,3180.0,1.0,,,,,7900.0,1.0,7900.0,1.0,,,,,,,,,7900.0,1.0,,,,,7230.0,,7230.0,,7900.0,7900.0,,21220.0,7.0,1770.0,,759.0,4.0,5.0,6.0,1.0,1.0,3.0,3.0,8150.0,0.0,201301.0,201805.0,201706.0,201805.0,26410.0,1.0,,201805.0,201805.0,20000.0,35370.0,13.0,24.0,,,,,,,3.0,2.0,0.0,0.0,0.0,3.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
215,201804,17850.0,208096.0,85.0,,,94648.0,54.0,,,,,167110.0,70.0,,,,,,,10092.0,4.0,900.0,1.0,14659.0,8.0,53294.0,20.0,75354.0,25.0,58387.0,27.0,5502.0,4.0,10934.0,9.0,,,89810.0,14.0,183065.0,25.0,,,,,12970.0,6.0,,,,,,,,,1310.0,1.0,62320.0,5.0,8051.0,4.0,66460.0,8.0,42334.0,6.0,2590.0,1.0,,,,,113085.0,15.0,20010.0,,20010.0,,,20010.0,,,,6000.0,4190.0,,10000.0,36000.0,,5040.0,,,,,,,20000.0,23230.0,7.0,,,23230.0,7.0,,,1350.0,1.0,12280.0,1.0,9410.0,4.0,,,190.0,1.0,,,9715.0,4.0,1520.0,1.0,,,,,6600.0,3.0,3115.0,1.0,,,,,4900.0,1.0,12280.0,,12280.0,,4900.0,1520.0,4900.0,1770.0,1.0,,,759.0,4.0,5.0,6.0,1.0,1.0,3.0,3.0,17850.0,0.0,201301.0,201804.0,201706.0,201804.0,,,,,,20000.0,22310.0,11.0,24.0,,,,,,,3.0,2.0,0.0,0.0,0.0,3.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
215,201803,38290.0,33840.0,63.0,,,15351.0,47.0,,,,,21231.0,52.0,,,,,,,,,,,7631.0,11.0,13683.0,17.0,4039.0,10.0,7575.0,19.0,912.0,6.0,968.0,4.0,,,6790.0,5.0,60550.0,9.0,,,,,0.0,1.0,,,,,,,,,,,1180.0,1.0,40570.0,4.0,9800.0,3.0,9000.0,1.0,,,,,,,3000.0,1.0,6620.0,,6620.0,,,6620.0,,,,,315.0,,4800.0,35000.0,,0.0,,,,,,,3000.0,5470.0,24.0,,,5470.0,24.0,20.0,2.0,320.0,3.0,1890.0,4.0,250.0,4.0,2470.0,5.0,520.0,6.0,,,3185.0,2.0,,,,,,,3185.0,2.0,,,,,,,,,2040.0,,2040.0,,3115.0,,,1080.0,1.0,,,759.0,4.0,5.0,5.0,1.0,1.0,3.0,3.0,38290.0,40.0,201301.0,201803.0,201706.0,201803.0,,,,,,20000.0,20540.0,8.0,12.0,,,,,,,3.0,2.0,0.0,0.0,0.0,3.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
215,201802,8190.0,65159.0,66.0,5500.0,2.0,32563.0,52.0,,,680.0,1.0,27353.0,43.0,5500.0,2.0,,,,,,,7380.0,5.0,10985.0,11.0,13935.0,13.0,19967.0,13.0,12372.0,17.0,520.0,7.0,4970.0,2.0,,,524.0,4.0,64896.0,20.0,,,,,,,2400.0,1.0,,,,,,,,,12110.0,3.0,23106.0,9.0,23790.0,4.0,2790.0,2.0,3100.0,2.0,,,,,4926.0,3.0,10000.0,3000.0,8960.0,,680.0,8960.0,3000.0,,,,2940.0,,300.0,10000.0,,,2400.0,,,,,,1990.0,2910.0,9.0,,,2910.0,9.0,1850.0,4.0,,,90.0,1.0,970.0,4.0,,,,,,,5592.0,3.0,,,,,5452.0,2.0,,,140.0,1.0,,,,,,,710.0,,710.0,,2832.0,,,16760.0,1.0,,,759.0,4.0,4.0,5.0,1.0,1.0,2.0,3.0,8190.0,40.0,201301.0,201802.0,201706.0,201802.0,,,,,,20000.0,20540.0,7.0,12.0,,,,,,,3.0,2.0,0.0,0.0,0.0,3.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
215,201801,5170.0,52757.0,81.0,,,14736.0,56.0,,,,,33762.0,52.0,,,,,,,,,2510.0,1.0,6365.0,10.0,2559.0,18.0,24164.0,27.0,8169.0,22.0,8990.0,3.0,6819.0,7.0,,,19917.0,13.0,41909.0,11.0,,,,,1740.0,1.0,,,,,,,,,,,1740.0,1.0,,,21869.0,5.0,10300.0,4.0,8000.0,1.0,,,,,479.0,1.0,10000.0,,3780.0,,,10000.0,,,,,2510.0,,10000.0,16000.0,,1740.0,,,,,,,479.0,4730.0,8.0,120.0,1.0,4610.0,7.0,120.0,1.0,,,120.0,2.0,,,4490.0,5.0,,,,,4000.0,2.0,,,,,,,4000.0,1.0,,,,,0.0,1.0,4000.0,1.0,2890.0,120.0,2890.0,,4000.0,,4000.0,3950.0,1.0,,,759.0,4.0,4.0,5.0,1.0,1.0,2.0,3.0,5170.0,40.0,201301.0,201801.0,201706.0,201801.0,,,,,,3950.0,4490.0,4.0,12.0,,,,,,,3.0,2.0,0.0,0.0,0.0,3.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
215,201712,8220.0,91485.0,59.0,5000.0,1.0,25780.0,33.0,,,,,29170.0,36.0,5000.0,1.0,,,,,10000.0,1.0,,,49291.0,15.0,12595.0,9.0,7099.0,12.0,16204.0,16.0,6296.0,7.0,2025.0,3.0,,,20403.0,9.0,93489.0,20.0,,,,,,,,,,,,,,,13380.0,2.0,46490.0,4.0,5670.0,3.0,3599.0,2.0,12760.0,5.0,11590.0,4.0,,,,,11909.0,3.0,10000.0,5000.0,10000.0,,,9990.0,5000.0,,,10000.0,1310.0,,9990.0,32000.0,,,,,,,,,9990.0,3680.0,41.0,240.0,2.0,3440.0,39.0,880.0,3.0,300.0,6.0,650.0,18.0,310.0,9.0,1510.0,4.0,30.0,1.0,,,2917.0,5.0,320.0,1.0,120.0,1.0,2357.0,1.0,,,,,440.0,3.0,,,,,1230.0,120.0,1230.0,,2357.0,320.0,,,2.0,,,759.0,4.0,4.0,5.0,1.0,1.0,2.0,3.0,8220.0,,201301.0,201712.0,201706.0,201712.0,,,,,,530.0,530.0,3.0,12.0,,,,,,,3.0,2.0,0.0,0.0,0.0,3.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
215,201711,5540.0,21842.0,54.0,,,9767.0,42.0,,,,,15187.0,44.0,,,,,,,,,65.0,1.0,3842.0,12.0,10217.0,11.0,5552.0,12.0,1232.0,13.0,934.0,5.0,1320.0,2.0,,,7116.0,5.0,20885.0,11.0,,,,,,,,,,,,,,,,,9661.0,3.0,2000.0,1.0,3169.0,3.0,6055.0,4.0,,,,,,,2839.0,4.0,5000.0,,2390.0,,,5000.0,,,,,1100.0,,5000.0,5650.0,,,,,,,,,1580.0,14650.0,18.0,,,14650.0,18.0,,,5690.0,1.0,1530.0,9.0,,,7410.0,6.0,20.0,2.0,,,770.0,1.0,,,,,,,,,,,,,770.0,1.0,,,5690.0,,5690.0,,770.0,,,,,,,759.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,5540.0,,201301.0,201711.0,201706.0,201711.0,,,,,,,,2.0,12.0,,,,,,,3.0,2.0,0.0,0.0,0.0,3.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
215,201710,50.0,20363.0,46.0,1000.0,1.0,8375.0,35.0,,,,,9618.0,38.0,1000.0,1.0,,,,,,,3028.0,3.0,1474.0,4.0,382.0,7.0,3433.0,10.0,7230.0,16.0,4816.0,6.0,2670.0,4.0,,,14.0,1.0,18243.0,10.0,,,,,500.0,1.0,,,,,,,,,,,619.0,1.0,572.0,1.0,10052.0,6.0,,,7000.0,2.0,,,,,862.0,2.0,4500.0,1000.0,2090.0,,,2090.0,1000.0,,,,1250.0,,14.0,6500.0,,500.0,,,,,,,619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,50.0,,201301.0,201710.0,201706.0,201710.0,,,,,,,,1.0,12.0,,,,,,,3.0,2.0,0.0,0.0,0.0,3.0,,,,,,4.0,0.0,0.0,0.0,0.0,1
216,201803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600.0,3.0,,,3600.0,3.0,,,,,2100.0,2.0,,,1500.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2000.0,,2000.0,,,,,,,,,714.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,0.0,,201603.0,201612.0,201603.0,201803.0,,,,,,20820.0,20820.0,9.0,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,2.0,0.0,0.0,0.0,0.0,1
216,201802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,0.0,,201603.0,201612.0,201603.0,201802.0,,,,,,20820.0,20820.0,8.0,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,2.0,0.0,0.0,0.0,0.0,1
216,201801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,1.0,,,1500.0,1.0,,,,,1500.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,,1500.0,,,,,,,,,714.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,0.0,,201603.0,201612.0,201603.0,201801.0,,,,,,20820.0,20820.0,11.0,12.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1
216,201712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2910.0,5.0,,,2910.0,5.0,,,,,100.0,1.0,,,1440.0,3.0,1370.0,1.0,,,,,,,,,,,,,,,,,,,,,1370.0,,1370.0,,,,,,,,,714.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,0.0,,201603.0,201612.0,201603.0,201712.0,,,,,,20820.0,20820.0,11.0,12.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,1
216,201711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.0,12.0,,,1030.0,12.0,10.0,1.0,,,120.0,4.0,560.0,3.0,0.0,2.0,340.0,2.0,,,,,,,,,,,,,,,,,,,,,470.0,,470.0,,,,,,,,,714.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,0.0,,201603.0,201612.0,201603.0,201711.0,,,,,,20820.0,20820.0,11.0,12.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,1
216,201710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3030.0,3.0,,,3030.0,3.0,,,,,,,3030.0,2.0,,,0.0,1.0,,,5500.0,2.0,,,,,3000.0,1.0,,,,,2500.0,1.0,,,5500.0,2.0,3020.0,,3020.0,,3000.0,,3000.0,,,,,714.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,0.0,,201603.0,201612.0,201603.0,201710.0,,,,,,20820.0,20820.0,11.0,12.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,1
216,201709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.0,1.0,,,840.0,1.0,,,,,,,,,,,840.0,1.0,,,6000.0,2.0,,,,,,,,,6000.0,2.0,,,,,6000.0,2.0,840.0,,840.0,,3000.0,,3000.0,,,,,714.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,0.0,,201603.0,201612.0,201603.0,201709.0,,,,,,20820.0,20820.0,12.0,12.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,1
216,201708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140.0,4.0,,,1140.0,4.0,,,,,560.0,3.0,,,580.0,1.0,,,,,5500.0,1.0,,,,,,,5500.0,1.0,,,,,,,5500.0,1.0,580.0,,580.0,,5500.0,,5500.0,,,,,714.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,0.0,,201603.0,201612.0,201603.0,201708.0,,,,,,20820.0,20820.0,12.0,12.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,1
216,201707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,2.0,,,1200.0,2.0,,,,,1200.0,2.0,,,,,,,,,6000.0,1.0,,,,,,,,,6000.0,1.0,,,,,6000.0,1.0,710.0,,710.0,,6000.0,,6000.0,,,,,714.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,0.0,,201603.0,201612.0,201603.0,201707.0,,,,,,20820.0,20820.0,12.0,12.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,1
216,201706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4040.0,1.0,,,4040.0,1.0,,,,,4040.0,1.0,,,,,,,,,8000.0,1.0,,,,,,,,,8000.0,1.0,,,,,8000.0,1.0,4040.0,,4040.0,,8000.0,,8000.0,,,,,714.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,0.0,,201603.0,201612.0,201603.0,201706.0,,,,,,20820.0,20820.0,11.0,12.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,1
216,201705,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10600.0,5.0,0.0,0.0,10600.0,5.0,0.0,0.0,9000.0,1.0,0.0,0.0,530.0,2.0,410.0,1.0,660.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,714.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,0.0,,201603.0,201612.0,201603.0,201705.0,,,,,,20820.0,20820.0,10.0,12.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,1
216,201704,2.0,44.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3210.0,4.0,0.0,0.0,3210.0,4.0,2100.0,1.0,410.0,2.0,0.0,0.0,0.0,0.0,700.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,2.0,,201603.0,201612.0,201603.0,201704.0,,,,,,20820.0,20820.0,9.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,1
218,201808,,2990.0,1.0,,,2990.0,1.0,,,,,,,,,,,,,,,,,,,,,2990.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2990.0,,2990.0,,,,,,,,,,,,,,,,,,,,,9070.0,5.0,4000.0,1.0,5020.0,3.0,,,,,8050.0,3.0,1020.0,2.0,,,,,,,12100.0,3.0,1000.0,1.0,,,4000.0,2.0,8100.0,1.0,,,,,,,,,4000.0,4000.0,4000.0,,8100.0,1000.0,,16060.0,2.0,,,536.0,6.0,6.0,7.0,1.0,1.0,4.0,5.0,10070.0,7970.0,201312.0,201808.0,201401.0,201808.0,,,,,,8050.0,20080.0,2.0,12.0,,,,,,,7.0,4.0,0.0,4.0,0.0,3.0,,,,,,2.0,0.0,0.0,0.0,0.0,1
218,201807,7980.0,9479.0,6.0,4000.0,2.0,3939.0,2.0,,,,,3939.0,2.0,4000.0,2.0,,,,,,,,,,,7979.0,5.0,1500.0,1.0,,,,,,,,,1500.0,1.0,1500.0,1.0,,,,,,,,,,,,,,,,,,,,,1500.0,1.0,,,,,,,,,1500.0,1.0,3030.0,3000.0,3030.0,,,3030.0,3000.0,,,,,,1500.0,1500.0,,,,,,,,,1500.0,8090.0,7.0,,,8090.0,7.0,,,90.0,2.0,5080.0,4.0,2920.0,1.0,,,,,,,10200.0,2.0,3000.0,1.0,,,10200.0,2.0,,,,,,,,,,,2920.0,,2920.0,,7200.0,3000.0,,19980.0,3.0,,,536.0,6.0,6.0,7.0,1.0,1.0,4.0,5.0,10070.0,10.0,201312.0,201807.0,201401.0,201807.0,,,,,,8050.0,20080.0,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,7.0,4.0,0.0,4.0,0.0,3.0,,,,,,2.0,0.0,0.0,0.0,0.0,1
218,201806,7040.0,9890.0,6.0,3900.0,2.0,3000.0,1.0,,,,,3000.0,1.0,3900.0,2.0,,,,,2990.0,3.0,,,1000.0,1.0,4990.0,3.0,3900.0,2.0,,,,,,,,,,,4000.0,2.0,,,,,,,,,,,,,,,,,1000.0,1.0,3000.0,1.0,,,,,,,,,,,1000.0,1.0,3000.0,3000.0,3000.0,,,3000.0,3000.0,,,1510.0,,,,3000.0,,,,,,,,,1000.0,6250.0,9.0,,,6250.0,9.0,,,220.0,2.0,120.0,3.0,5910.0,4.0,,,,,,,12.0,1.0,12.0,1.0,,,,,,,12.0,1.0,,,,,,,3000.0,,3000.0,,12.0,12.0,,1020.0,3.0,,,536.0,6.0,6.0,6.0,1.0,1.0,4.0,5.0,9130.0,,201312.0,201806.0,201401.0,201806.0,,,,,,4000.0,4000.0,,,,,,,,,6.0,3.0,0.0,4.0,0.0,2.0,,,,,,2.0,0.0,0.0,0.0,0.0,1
218,201805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.0,3.0,2.0,2.0,,1.0,2.0,2.0,2090.0,,201312.0,201705.0,201401.0,201801.0,,,,,,4000.0,4000.0,,,2.0,1.0,0.0,2.0,0.0,0.0,6.0,3.0,0.0,4.0,0.0,2.0,,,,,,2.0,0.0,0.0,0.0,0.0,1
218,201804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.0,3.0,2.0,2.0,,1.0,2.0,2.0,2090.0,,201312.0,201705.0,201401.0,201801.0,,,,,,4000.0,4000.0,,,1.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,2.0,,,,,,2.0,0.0,0.0,0.0,0.0,1
218,201803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.0,3.0,2.0,2.0,,1.0,2.0,2.0,2090.0,,201312.0,201705.0,201401.0,201801.0,,,,,,4000.0,4000.0,,,,,,,,,3.0,2.0,0.0,1.0,0.0,2.0,,,,,,2.0,0.0,0.0,0.0,0.0,1
218,201802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.0,3.0,2.0,2.0,,1.0,2.0,2.0,2090.0,,201312.0,201705.0,201401.0,201801.0,,,,,,4000.0,4000.0,,,,,,,,,3.0,2.0,0.0,1.0,0.0,2.0,,,,,,2.0,0.0,0.0,0.0,0.0,1
218,201801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.0,3.0,2.0,2.0,,1.0,2.0,2.0,2090.0,,201312.0,201705.0,201401.0,201801.0,,,,,,4000.0,4000.0,,,,,,,,,3.0,2.0,0.0,1.0,0.0,2.0,,,,,,2.0,0.0,0.0,0.0,0.0,1
218,201712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.0,3.0,2.0,2.0,,1.0,2.0,2.0,2090.0,,201312.0,201705.0,201401.0,201710.0,,,,,,,,,,,,,,,,3.0,2.0,0.0,1.0,0.0,2.0,,,,,,2.0,0.0,0.0,0.0,0.0,1
218,201711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.0,3.0,2.0,2.0,,1.0,2.0,2.0,2090.0,,201312.0,201705.0,201401.0,201710.0,,,,,,,,,,,,,,,,3.0,2.0,0.0,1.0,0.0,2.0,,,,,,2.0,0.0,0.0,0.0,0.0,1
218,201710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.0,3.0,2.0,2.0,,1.0,2.0,2.0,2090.0,,201312.0,201705.0,201401.0,201710.0,,,,,,,,,,,,,,,,3.0,2.0,0.0,1.0,0.0,2.0,,,,,,2.0,0.0,0.0,0.0,0.0,1
218,201709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.0,2.0,2.0,1.0,,,2.0,1.0,2090.0,,201312.0,201705.0,201401.0,201401.0,,,,,,,,,,,,,,,,3.0,2.0,0.0,1.0,0.0,2.0,,,,,,2.0,0.0,0.0,0.0,0.0,1
